Number,Date,Source,File,Query,Ref_Code,Gen_Tool,Gen_Code,Correct,Note
1,2026-01-16,?graphics::plot.default,,Plot distance vs speed from the cars dataset with medium-large open blue rectangles and an 8x8 grid,"Speed <- cars$speed\nDistance <- cars$dist\nplot(Speed, Distance, panel.first = grid(8, 8), pch = 0, cex = 1.2, col = ""blue"")","help_package, help_topic, make_plot","# help_package\n# 'package': 'datasets'\n\n# help_topic\n# 'topic': 'cars'\n\n# make_plot\npng(filename)\nplot(cars$speed, cars$dist, xlab = ""Speed (mph)"", ylab = ""Stopping distance (ft)"", \n     pch = 0, col = ""blue"", cex = 1.5, panel.first = grid(8, 8))\ndev.off()",True,Check for unfilled points
2,2026-01-16,,,ggplot wt vs mpg from mtcars,"library(ggplot2)\nggplot(mtcars, aes(mpg, wt)) + geom_point()\nggsave(filename, device = ""png"")","help_package, help_topic, make_ggplot","# help_package\n# 'package': 'datasets'\n\n# help_topic\n# 'topic': 'ggplot'\n\n# make_ggplot\nlibrary(ggplot2)\nggplot(mtcars, aes(mpg, wt)) +\n  geom_point()\nggsave(filename, device = ""png"")",True,Title and axis labels not specified by user
3,2026-01-16,,,Plot distance vs speed from the cars dataset with medium-large open blue rectangles and gridlines at the tick marks,"Speed <- cars$speed\nDistance <- cars$dist\nplot(Speed, Distance, panel.first = grid(), pch = 0, cex = 1.2, col = ""blue"")","help_package, run_visible, make_plot","# help_package\n# 'package': 'datasets'\n\n# run_visible\ndf <- data.frame(cars)\ndata_summary(df)\n\n# make_plot\npng(filename)\nplot(df$speed, df$dist, xlab = ""speed"", ylab = ""distance"", pch = 22, col = ""blue"", bg = ""blue"", cex = 1.5, xaxt = ""n"", yaxt = ""n"")\naxis(1, at = pretty(df$speed))\naxis(2, at = pretty(df$dist))\ngrid(nx = NULL, ny = NULL, col = ""lightgray"", lty = ""dotted"")\ndev.off()",False,Check for open symbols and grid lines at tick marks
4,2026-01-16,?graphics::plot.default,,Use R's cars dataset. Make a distance-speed (y-x) plot with a lowess fit.,"Speed <- cars$speed\nDistance <- cars$dist\nplot(Speed, Distance, panel.first = lines(stats::lowess(Speed, Distance), lty = ""dashed""), pch = 0, cex = 1.2, col = ""blue"")","help_package, make_plot","# help_package\n# 'package': 'datasets'\n\n# make_plot\npng(filename)\nplot(cars$speed, cars$dist, xlab = ""Speed"", ylab = ""Distance"", main = ""Distance vs Speed with Lowess Fit"")\nlines(lowess(cars$speed, cars$dist), col = ""blue"")\ndev.off()",True,User did not specify point or line styles and title or axis labels
5,2026-01-16,?graphics::plot.default,,"Calculate y = sin(pi/5 * x) at x = 0 to 12 step by 1. In a 2x2 grid, make 4 plots with points, lines, both points and lines, and histogram-like vertical lines","## Show the different plot types\nx <- 0:12\ny <- sin(pi/5 * x)\nop <- par(mfrow = c(2,2), mar = .1+ c(2,2,3,1))\nfor (tp in c(""p"",""l"",""b"",""h"")) {\n    plot(y ~ x, type = tp, main = paste0(""plot(*, type = \"""", tp, ""\"")""))\n}\npar(op)","make_plot, make_plot","# make_plot\npng(filename)\npar(mfrow = c(2, 2))\nx <- 0:12\ny <- sin(pi/5 * x)\n\n# Plot 1: Points\ngrid.plot(x, y, type = ""p"", main = ""Points"")\n\n# Plot 2: Lines\ngrid.plot(x, y, type = ""l"", main = ""Lines"")\n\n# Plot 3: Points and Lines\ngrid.plot(x, y, type = ""b"", main = ""Points and Lines"")\n\n# Plot 4: Histogram-like vertical lines\nplot(x, y, type = 'h', main = 'Histogram-like Lines')\ndev.off()\n\n# make_plot\npng(filename)\npar(mfrow = c(2, 2))\nx <- 0:12\ny <- sin(pi/5 * x)\n\n# Plot 1: Points\nplot(x, y, type = ""p"", main = ""Points"")\n\n# Plot 2: Lines\nplot(x, y, type = ""l"", main = ""Lines"")\n\n# Plot 3: Points and Lines\nplot(x, y, type = ""b"", main = ""Points and Lines"")\n\n# Plot 4: Histogram-like vertical lines\nplot(x, y, type = 'h', main = 'Histogram-like Lines')\ndev.off()",True,
6,2026-01-16,?graphics::barplot,,Make a barplot of gross national product for each year using the longley data,"barplot(GNP ~ Year, data = longley)","help_package, help_topic, make_plot","# help_package\n# 'package': 'datasets'\n\n# help_topic\n# 'topic': 'longley'\n\n# make_plot\npng(filename)\nbarplot(longley$GNP, names.arg = longley$Year, xlab = ""Year"", ylab = ""Gross National Product"", main = ""Gross National Product by Year"", col = ""lightblue"")\ndev.off()",True,User did not specify title
7,2026-01-16,?graphics::barplot,,"Use longley dataset, show stacked bars of numbers of employed and unemployed across years","barplot(cbind(Employed, Unemployed) ~ Year, data = longley)","help_package, help_topic, make_plot","# help_package\n# 'package': 'datasets'\n\n# help_topic\n# 'topic': 'longley'\n\n# make_plot\npng(filename)\n# Load the longley dataset\nlibrary(datasets)\ndata(longley)\n\n# Create a stacked bar plot\nbarplot(t(as.matrix(longley[, c('Employed', 'Unemployed')])),\n        beside = FALSE,\n        names.arg = longley$Year,\n        col = c(""blue"", ""red""),\n        xlab = ""Year"",\n        ylab = ""Count"",\n        legend.text = c(""Employed"", ""Unemployed""),\n        main = ""Numbers of Employed and Unemployed Across Years"")\ndev.off()",True,"User did not specify colors, legend, or title"
8,2026-01-16,?graphics::barplot,,"For the adult male passengers on the Titanic, make barplots of survivors and non-survivors subdivided by class","d.Titanic <- as.data.frame(Titanic)\nbarplot(Freq ~ Class + Survived, data = d.Titanic,\n        subset = Age == ""Adult"" & Sex == ""Male"",\n        main = ""barplot(Freq ~ Class + Survived, *)"", ylab = ""# {passengers}"", legend.text = TRUE)","help_package, help_topic, make_plot, make_plot","# help_package\n# 'package': 'datasets'\n\n# help_topic\n# 'topic': 'Titanic'\n\n# make_plot\npng(filename)\ndata(Titanic)\ntitanic_males <- as.data.frame(Titanic)[as.data.frame(Titanic)$Sex == ""Male"" & as.data.frame(Titanic)$Age == ""Adult"", ]\ntitanic_males_agg <- aggregate(Freq ~ Class + Survived, data = titanic_males, sum)\nbarplot(heights = titanic_males_agg$Freq,\n        names.arg=paste(titanic_males_agg$Class, titanic_males_agg$Survived, sep=""\n""),\n        col=c(""red"", ""green""),\n        las=2,\n        main=""Survival of Adult Male Passengers by Class"",\n        xlab=""Class and Survival"",\n        ylab=""Frequency"",\n        legend.text=c(""Non-survived"", ""Survived""),\n        args.legend=list(x=""topright""))\ndev.off()\n\n# make_plot\npng(filename)\ndata(Titanic)\ntitanic_males <- as.data.frame(Titanic)[as.data.frame(Titanic)$Sex == ""Male"" & as.data.frame(Titanic)$Age == ""Adult"", ]\ntitanic_males_agg <- aggregate(Freq ~ Class + Survived, data = titanic_males, sum)\nbar_matrix <- matrix(titanic_males_agg$Freq, nrow=2, byrow=TRUE,\n                     dimnames=list(c(""Non-survived"", ""Survived""),\n                                   unique(titanic_males_agg$Class)))\nbarplot(bar_matrix,\n        beside=TRUE,\n        col=c(""red"", ""green""),\n        main=""Survival of Adult Male Passengers by Class"",\n        xlab=""Class"",\n        ylab=""Frequency"",\n        legend.text=c(""Non-survived"", ""Survived""),\n        args.legend=list(x=""topright""))\ndev.off()",False,"Use adult males from Titanic dataset. Use barplot to show numbers of passenger in terms of survival (x axis) and class (stacking in bars - 1,2,3,Crew)."
9,2026-01-16,?graphics::barplot,,"Using the VADeaths dataset,  plot death rates in each category with separate bars for each age range. Include a legend for age ranges and title the plot ""Death Rates in Virginia""","barplot(VADeaths, beside = TRUE,\n        col = c(""lightblue"", ""mistyrose"", ""lightcyan"",\n                ""lavender"", ""cornsilk""),\n        legend.text = rownames(VADeaths), ylim = c(0, 100))\ntitle(main = ""Death Rates in Virginia"", font.main = 4)","help_package, help_topic, make_plot","# help_package\n# 'package': 'datasets'\n\n# help_topic\n# 'topic': 'VADeaths'\n\n# make_plot\npng(filename)\nbarplot(VADeaths, beside = TRUE, legend = TRUE, main = ""Death Rates in Virginia"")\ndev.off()",True,"User did not specify bar colors, y-axis range, or axis labels"
10,2026-01-16,?graphics::barplot,,"Stacked barplot of death rates in Virginia with ages indicated by shading lines, steeper for higher age","barplot(VADeaths, angle = 15+10*1:5, density = 20, col = ""black"",\n        legend.text = rownames(VADeaths))\ntitle(main = list(""Death Rates in Virginia"", font = 4))","help_package, help_topic, make_ggplot","# help_package\n# 'package': 'datasets'\n\n# help_topic\n# 'topic': 'VADeaths'\n\n# make_ggplot\nlibrary(ggplot2)\nVADeaths_df <- as.data.frame(as.table(VADeaths))\ncolnames(VADeaths_df) <- c(""Age"", ""Group"", ""Rate"")\nVADeaths_df$Age <- as.ordered(VADeaths_df$Age)\nVADeaths_df$linetype <- as.numeric(VADeaths_df$Age)\n\n# Plot\np <- ggplot(VADeaths_df, aes(x = Group, y = Rate, fill = Group, linetype = Age)) +\n  geom_bar(stat = ""identity"", position = ""stack"", colour = ""black"") +\n  scale_linetype_manual(values = seq(1, 5)) +\n  theme_minimal() +\n  ggtitle(""Stacked Barplot of Death Rates in Virginia (1940)"") +\n  theme(axis.text.x = element_text(angle = 45, hjust = 1))\n\nggsave(filename, device = ""png"")",False,Use shading lines instead of border line styles
